#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
881.48627,1811,1152.030035
531.42456,975,1152.176665
1528.3693,3610,1153.166845
230.44861,1081,1165.33618
1645.2826,3799,1166.28145
1485.3802,3854,1176.090723
501.93137,983,1176.611133
1976.5752,2999,1176.702806
643.12427,1031,1176.908862
617.81116,1418,1177.769166
719.5606,2087,1188.49474
1177.0084,2295,1188.56324
1788.2728,2990,1188.841379
977.7758,4000,1188.984858
1272.3271,2379,1189.430938
600.43945,1133,1198.444092
1216.0908,2810,1198.495344
761.22784,1636,1199.287024
479.6417,740,1199.579977
1547.0688,3031,1199.755045
545.68524,1009,1200.033124
1186.1742,2461,1209.579923
2506.654,3694,1210.078253
770.03235,1187,1210.236083
711.0001,1675,1210.569991
816.8344,2266,1211.342386
858.8685,3814,1221.888709
522.1944,948,1222.25541
2274.4578,3250,1223.122279
506.79907,2333,1232.661188
658.6554,1462,1232.710903
690.75714,1225,1234.003811
702.2738,2526,1234.835079
2260.9568,3607,1235.177458
270.59164,752,1248.61175
154.61183,397,1248.996559
1451.4663,2101,1249.352668
567.34735,843,1249.433062
705.3275,1705,1249.560194
671.4999,1142,1249.826117
1041.5312,1831,1261.035927
239.00249,536,1261.507505
527.96716,2532,1261.694926
266.49835,952,1262.037255
1237.1003,3012,1262.170659
447.8577,729,1262.548373
1767.1868,3468,1269.571561
2572.6511,3939,1270.068797
924.50995,4000,1270.278199
1456.4963,2371,1271.40871
1206.6101,3625,1271.621483
526.9874,769,1272.121601
465.76587,1104,1272.170314
356.07278,903,1272.258263
363.62607,1918,1272.361201
291.46857,679,1272.48168
554.63275,853,1283.801122
1982.3535,3193,1283.874938
520.1885,779,1284.1432
1196.6104,1864,1284.32761
303.7197,1210,1284.379162
1283.5802,2051,1285.342638
307.0016,1127,1298.83678
784.3627,1276,1299.094222
1101.1433,2449,1299.411084
551.3318,984,1299.559684
578.2883,1072,1299.909611
1017.11975,1555,1300.399173
720.2168,1523,1311.139952
690.2387,1090,1311.195452
259.5623,870,1311.57675
893.15186,1481,1311.634667
349.79355,1402,1311.994166
784.48517,1406,1312.190147
538.29767,904,1312.304746
377.5752,1011,1326.031842
1626.7555,2121,1326.320586
358.29916,1202,1327.057971
1416.5188,2646,1336.648888
1827.9902,2536,1336.699956
1727.6261,2660,1336.771037
877.21014,1645,1336.840296
1404.7076,1839,1337.01682
554.3049,874,1337.827713
1626.4287,2162,1338.186761
894.0126,1904,1338.511599
1150.1213,1806,1347.429695
556.32806,1647,1347.524748
723.4762,1098,1347.631637
932.1925,1666,1347.729853
867.54083,1828,1347.956889
654.0033,1127,1349.789121
930.5419,1507,1359.959065
704.61365,1176,1360.103158
470.58966,961,1360.354893
1671.158,2828,1360.516762
412.64578,1775,1360.819576
842.2513,1246,1361.188014
1068.4863,1585,1373.178019
955.6392,1293,1373.39392
394.50677,2532,1373.668733
494.21127,4000,1383.984965
653.4945,2693,1384.168468
2091.964,2945,1384.331911
854.6392,1355,1384.610178
1080.0446,2353,1385.093476
265.92798,734,1385.40254
539.1988,1836,1398.541535
772.5675,1485,1398.659448
711.8738,1003,1398.702094
1177.3091,1783,1398.942149
1360.6248,2042,1399.88146
418.70227,785,1413.251845
843.60266,1087,1413.804632
355.60236,1526,1414.052022
1909.333,3620,1414.299781
980.665,1622,1414.636747
